address,ETH_balance,last_balance_change_BlockNumber,updated_BlockNumber
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2383656.316576196,7450171,7450176
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,2152131.244246356,7447607,7450176
0x742d35cc6634c0532925a3b844bc454e4438f44e,2137088.5700538782,7449702,7450176
0x53d284357ec70ce289d6d64134dfac8e511c8a3d,1378754.093068189,5818164,7450176
0x66f820a414680b5bcda5eeca5dea238543f42054,1200001.539214734,7325007,7450176
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,999999.0124631253,7188171,7450176
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,895999.00001,7393150,7450176
0xdc76cd25977e0a5ae17155770273ad58648900d3,850860.6419688871,7262057,7450176
0xfca70e67b3f93f679992cd36323eeb5a5370c8e4,816999.8957510086,7316538,7450176
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,801052.7999597247,6859227,7450176
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,657334.1426768698,7262059,7450176
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,645173.90633858,7392713,7450176
0xf4a2eff88a408ff4c4550148151c33c93442619e,625346.8174313336,7450158,7450176
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,560000.00001,5357423,7450176
0x51f9c432a4e59ac86282d6adab4c2eb8919160eb,530000.0000101001,5818301,7450176
0x847ed5f2e5dde85ea2b685edab5f1f348fb140ed,483000.09493900003,5531064,7450176
0xa2b4c60a15ebe766ac8fd85c325cc18dc220b576,450026.08934189286,7262064,7450176
0xe92d1a43df510f82c66382592a047d288f85226f,450000.01966472546,7262067,7450176
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,432229.0818381579,7450174,7450176
0x0c0f476d716b18d40a09876c10768c02dec2ceab,400000.31892125786,7262072,7450176
0x74660414dfae86b196452497a4332bd0e6611e82,399999.99999999994,7408184,7450176
0x75ba02c5baf9cc3e9fe01c51df3cb1437e8690d4,395432.76252082584,6269308,7450176
0x034f854b44d28e26386c1bc37ff9b20c6380b00d,371736.112321262,7450173,7450176
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,368023.14815,7415310,7450176
0x2140efd7ba31169c69dfff6cdc66c542f0211825,357413.99055462907,7378685,7450176
0xab5801a7d398351b8be11c439e05c5b3259aec9b,350003.57367109467,7415906,7450176
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,340740.998660657,7315171,7450176
0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,324999.9993640702,7262076,7450176
0x850c0224f37f67c471e860375ac8e39fea61e8b0,319500.00840243156,5497946,7450176
0x5861b8446a2f6e19a067874c133f04c578928727,313382.191622705,7450176,7450176
0x3bfc20f0b9afcace800d73d2191166ff16540258,306276.2723613999,6985657,7450176
0x3bf86ed8a3153ec933786a02ac090301855e576b,299900.0014596,7180344,7450176
0x07ee55aa48bb72dcc6e9d78256648910de513eca,292524.20056762715,7419246,7450176
0x8103683202aa8da10536036edef04cdd865c225e,274999.9994982199,7262078,7450176
0x3a35a67bed013ba23518c2f4fafdf1079fdf2a69,263068.6332712615,7426509,7450176
0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,254248.45391694,5357729,7450176
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,250000.00001,5357738,7450176
0xdb6fd484cfa46eeeb73c71edee823e4812f9e2e1,242400.24883016528,7397664,7450176
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,227888.03756854573,7449748,7450176
0x8b15eb5ea0a405da4d82f26d9197fad62ef7405a,218676.47419781,7248076,7450176
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,216289.89955896113,7450167,7450176
0x73bceb1cd57c711feac4224d062b0f6ff338501e,213096.660133442,7428878,7450176
0x22650fcf7e175ffe008ea18a90486d7ba0f51e41,208142.01139432,7277011,7450176
0xe3ecccd6c67da25871fc5ff9a32a6f5c379167a6,207437.97,5998414,7450176
0xa0e239b0abf4582366adaff486ee268c848c4409,200782.2155111767,5593994,7450176
0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,200000.97313798137,6787236,7450176
0x98ec059dc3adfbdd63429454aeb0c990fba4a128,199999.99999999997,7390668,7450176
0x8cf23cd535a240eb0ab8667d24eedbd9eccd5cba,199843.57455654777,7444443,7450176
0x07c62a47ebe0fa853bb83375e488896ce71266df,195836.20615300912,7446079,7450176
0xd69b0089d9ca950640f5dc9931a41a5965f00303,193276.1179811963,7305719,7450176
0x036b96eea235880a9e82fb128e5f6c107dfe8f57,190634.00120889,7137888,7450176
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,187068.19559000002,5357809,7450176
0xaf10cc6c50defff901b535691550d7af208939c5,185590.92871946,6306450,7450176
0x60cd748f838651c003c24dbde33c8885d504ed9d,177932.29200000002,7325591,7450176
0xcafe1a77e84698c83ca8931f54a755176ef75f2c,176480.7949576353,7323095,7450176
0x851b7f3ab81bd8df354f0d7640efcd7288553419,172695.817611,7372647,7450176
