ts,fromAddr,toAddr,value,blockNumber
2018-01-22T00:00:27.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949164
2018-01-22T00:00:41.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949167
2018-01-22T00:01:09.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x004075e4d4b1ce6c48c81cc940e2bad24b489e64,24000,4949170
2018-01-22T00:01:48.000Z,0x004075e4d4b1ce6c48c81cc940e2bad24b489e64,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,24000,4949173
2018-01-22T00:10:35.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949213
2018-01-22T00:11:36.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949217
2018-01-22T00:15:07.000Z,0x7df4378332036338f5f88d4b90976a5cbf6d6cb7,0x0005abcbb9533cf6f9370505ffef25393e0d2852,5000,4949233
2018-01-22T00:17:12.000Z,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,0x295daff16d69106b5179662dca6ebf998bae964f,2851,4949239
2018-01-22T00:19:54.000Z,0x295daff16d69106b5179662dca6ebf998bae964f,0x0005abcbb9533cf6f9370505ffef25393e0d2852,2851,4949249
2018-01-22T00:24:55.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949269
2018-01-22T00:25:35.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949272
2018-01-22T00:46:06.000Z,0x457524ecd5275df362b1a6ab17d92d8ecdb98abc,0x0005abcbb9533cf6f9370505ffef25393e0d2852,3138.9060417,4949351
2018-01-22T00:53:03.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949381
2018-01-22T00:53:21.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x0005abcbb9533cf6f9370505ffef25393e0d2852,30862.1745143,4949383
2018-01-22T00:53:21.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,9071.2742796808,4949383
2018-01-22T00:53:39.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,30928.7257203192,4949386
2018-01-22T00:59:48.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,9071.2742796808,4949409
2018-01-22T01:00:10.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,30928.7257203192,4949411
2018-01-22T01:01:23.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x93536860fcad0fa46f08290c4e570f7e9c4920ac,1050,4949416
2018-01-22T01:01:23.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,38941.3424758,4949416
2018-01-22T01:01:34.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,38941.3424758,4949418
2018-01-22T01:02:30.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949420
2018-01-22T01:10:01.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949449
2018-01-22T01:10:09.000Z,0x9f66bdaa815c3b8e059b1e43e01d3a31426c7eef,0x0005abcbb9533cf6f9370505ffef25393e0d2852,39.5491934125,4949450
2018-01-22T01:10:17.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949451
2018-01-22T01:21:03.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949494
2018-01-22T01:21:39.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949499
2018-01-22T01:44:31.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949595
2018-01-22T01:46:48.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949602
2018-01-22T02:06:40.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949687
2018-01-22T02:07:14.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949690
2018-01-22T02:07:14.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x004075e4d4b1ce6c48c81cc940e2bad24b489e64,24000,4949690
2018-01-22T02:07:49.000Z,0x004075e4d4b1ce6c48c81cc940e2bad24b489e64,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,24000,4949692
2018-01-22T02:24:37.000Z,0x932e269e4cbb515e30159dfb1205af192a3e3ee9,0x0005abcbb9533cf6f9370505ffef25393e0d2852,38.884683282,4949759
2018-01-22T02:26:49.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949775
2018-01-22T02:27:27.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949778
2018-01-22T02:27:56.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949781
2018-01-22T02:28:49.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949783
2018-01-22T02:32:43.000Z,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,0x0005abcbb9533cf6f9370505ffef25393e0d2852,40000,4949801
2018-01-22T02:33:43.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x14fbca95be7e99c15cc2996c6c9d841e54b79425,40000,4949807
2018-01-22T02:38:32.000Z,0x0090699f6e2af9dc9f83bb2f69a10fbd414bbb20,0x0005abcbb9533cf6f9370505ffef25393e0d2852,15001.1095319951,4949827
2018-01-22T02:41:17.000Z,0x0090699f6e2af9dc9f83bb2f69a10fbd414bbb20,0x0005abcbb9533cf6f9370505ffef25393e0d2852,24954.989851717,4949835
2018-01-22T02:41:44.000Z,0x0005abcbb9533cf6f9370505ffef25393e0d2852,0x00b5c29b7bcc4491e5fc7dd9d68e3aa4c8adf4ae,37818.0360889369,4949838
